dsstox_sid,very_toxic,nontoxic,LD50_mgkg,EPA_category,GHS_category,casrn,mol_weight,LD50_LM
DTXSID8059217,False,False,891.0,3.0,4.0,100-68-5,124.199996948,-0.855756118868
DTXSID1026667,False,False,100.0,2.0,3.0,100-69-6,105.13999939,0.0217679701613
DTXSID30274151,False,True,4920.0,3.0,5.0,100-73-2,112.126525879,-1.64225673656
DTXSID5025312,False,False,1780.0,3.0,4.0,100-74-3,115.176002502,-1.18905800123
DTXSID8021060,False,False,200.0,2.0,3.0,100-75-4,114.148002625,-0.243561679108
DTXSID2057607,False,False,81.2,2.0,3.0,100-76-5,111.18800354,0.136501902992
DTXSID9021845,False,True,7000.0,4.0,5.0,100-79-8,132.158996582,-1.72400130741
DTXSID1047601,False,False,1280.0,3.0,4.0,100-86-7,150.220993042,-0.930479341073
DTXSID5041809,False,True,12000.0,4.0,5.0,100-88-9,179.229995728,-1.82577055161
DTXSID30861707,False,True,4724.0,3.0,5.0,100-89-0,370.1,-1.10599080385
DTXSID20878647,False,False,100.0,2.0,3.0,100-95-8,397.04,0.598834262189
DTXSID6020692,False,True,9200.0,4.0,5.0,100-97-0,140.190002441,-1.81707078404
DTXSID0061379,False,False,1728.0,3.0,4.0,1000-70-0,186.404998779,-0.967086183595
DTXSID3032622,False,True,3112.0,3.0,5.0,10004-44-1,99.0889968872,-1.4970141564
DTXSID00142939,True,False,32.0,1.0,2.0,1001-55-4,99.0889968872,0.490875453598
DTXSID80889259,False,False,550.0,3.0,4.0,1001354-72-8,145.246,-0.578258508513
DTXSID60872280,False,False,150.0,2.0,3.0,10017-11-5,93.5500030518,-0.205047453052
DTXSID20143004,False,True,4860.0,3.0,5.0,100199-60-8,218.255996704,-1.34767008424
DTXSID8073134,False,True,5620.0,4.0,5.0,10022-60-3,314.466003418,-1.25216261436
DTXSID6045953,False,False,867.0,3.0,4.0,100286-90-6,623.150024414,-0.143426481104
DTXSID00143108,False,False,620.0,3.0,4.0,10029-04-6,130.143005371,-0.677970857893
DTXSID7046623,False,False,687.0,3.0,4.0,100299-08-9,266.304992676,-0.411577428408
DTXSID40883637,False,False,1327.0,3.0,4.0,1003-14-1,86.134,-1.18769630686
DTXSID70143115,True,False,32.0,1.0,2.0,1003-40-3,130.580001831,0.610726692038
DTXSID90143117,False,False,735.0,3.0,4.0,1003-52-7,108.099998474,-0.832461651261
DTXSID7022251,False,True,2100.0,3.0,5.0,10031-82-0,150.177001953,-1.14561586466
DTXSID50143133,False,True,3400.0,3.0,5.0,10031-96-6,192.214004517,-1.2476938903
DTXSID60143169,False,False,369.0,2.0,4.0,100330-91-4,331.378997803,-0.0467013859967
DTXSID10143235,False,False,830.0,3.0,4.0,100365-72-8,125.130996704,-0.821713188517
DTXSID7048663,False,True,11300.0,4.0,5.0,10040-45-6,481.399993896,-1.37057236305
DTXSID80143262,False,True,7460.0,4.0,5.0,10042-77-0,140.160003662,-1.7261147273
DTXSID2021280,False,False,120.0,2.0,3.0,10048-13-2,324.287994385,0.431749624707
DTXSID10143331,True,False,30.0,1.0,2.0,100482-70-0,285.029998779,0.977769316232
DTXSID1046550,False,True,6000.0,4.0,5.0,10049-83-9,441.380004883,-1.13333859525
DTXSID5044499,False,False,338.0,2.0,4.0,1005-67-0,143.229995728,-0.372882721309
DTXSID5058270,True,False,3.08,1.0,1.0,1005-93-2,178.124,1.7621717227
DTXSID30143373,False,False,1000.0,3.0,4.0,100537-30-2,222.246994019,-0.653164104328
DTXSID90143399,False,True,3700.0,3.0,5.0,10058-07-8,437.459991455,-0.927263383931
DTXSID40143400,False,True,4280.0,3.0,5.0,10058-20-5,374.518005371,-1.05797106728
DTXSID1032305,False,False,81.5,2.0,3.0,10061-01-5,110.970001221,0.134047982072
DTXSID0034857,False,False,1182.0,3.0,4.0,100646-51-3,372.809997559,-0.501129926333
DTXSID0047820,False,False,359.0,2.0,4.0,100678-32-8,380.444000244,0.0251962909125
DTXSID1074416,False,True,3440.0,3.0,5.0,1007-36-9,150.180999756,-1.35994345147
DTXSID30143494,False,False,980.0,3.0,4.0,100751-82-4,242.75,-0.606066837112
DTXSID60143543,False,False,700.0,3.0,4.0,10085-81-1,285.820007324,-0.389005413997
DTXSID4037748,False,False,500.0,2.0,4.0,1009-93-4,219.509994507,-0.357515705451
DTXSID0041060,False,False,1478.0,3.0,4.0,100986-85-4,361.37298584,-0.611718749971
DTXSID7064942,False,True,2140.0,3.0,5.0,10099-70-4,200.23399353,-1.0288759642
DTXSID0026252,False,False,444.0,2.0,4.0,101-02-0,310.289001465,-0.155616588304
DTXSID9020089,False,True,2700.0,3.0,5.0,101-05-3,275.519989014,-0.991210651703
DTXSID5020865,False,False,1140.0,3.0,4.0,101-14-4,267.149993896,-0.63014968274
DTXSID7020764,False,False,1200.0,3.0,4.0,101-21-3,213.660003662,-0.749458014546
DTXSID5020526,False,False,940.0,3.0,4.0,101-25-7,186.175003052,-0.703206483965
DTXSID9023540,True,False,37.5,1.0,2.0,101-26-8,261.118988037,0.842807186247
DTXSID3041617,False,False,527.0,3.0,4.0,101-27-9,258.100006104,-0.310022600399
DTXSID8037754,False,False,590.0,3.0,4.0,101-37-1,249.270004272,-0.37418199051
DTXSID4025587,False,True,2050.0,3.0,5.0,101-39-3,146.188995361,-1.1468391795
DTXSID1023526,False,False,83.0,2.0,3.0,101-40-6,155.285,0.272051414017
DTXSID1044352,False,True,2550.0,3.0,5.0,101-41-7,150.177001953,-1.22993675036
DTXSID7037551,False,True,6400.0,4.0,5.0,101-42-8,164.207992554,-1.59078568212
DTXSID1059230,False,True,2200.0,3.0,5.0,101-49-5,164.203994751,-1.1270389624
DTXSID6059231,False,True,14800.0,4.0,5.0,101-50-8,357.359985352,-1.61715579373
DTXSID7025895,False,False,464.0,2.0,4.0,101-54-2,184.242004395,-0.401129330823
DTXSID7025180,False,True,9200.0,4.0,5.0,101-68-8,250.257003784,-1.5654015867
DTXSID3025093,False,True,2470.0,3.0,5.0,101-70-2,229.279006958,-1.0323326612
DTXSID1025485,False,False,720.0,3.0,4.0,101-72-4,226.322998047,-0.502603808949
DTXSID6059239,False,False,1000.0,3.0,4.0,101-76-8,237.119995117,-0.625031822644
DTXSID6022422,False,False,517.0,3.0,4.0,101-77-9,198.269,-0.416235726929
DTXSID0021094,False,False,725.0,3.0,4.0,101-80-4,200.240997314,-0.558785006931
DTXSID1041891,False,True,2250.0,3.0,5.0,101-81-5,168.238998413,-1.12625584394
DTXSID6025018,False,False,373.0,2.0,4.0,101-83-7,181.322998047,-0.313255940612
DTXSID9021847,False,True,2450.0,3.0,5.0,101-84-8,170.210998535,-1.15817846487
DTXSID2049393,False,True,4000.0,3.0,5.0,101-85-9,204.31300354,-1.29176398306
DTXSID4026684,False,True,3100.0,3.0,5.0,101-86-0,216.324005127,-1.15625697876
DTXSID2020470,False,True,2570.0,3.0,5.0,101-90-6,222.240005493,-1.0631108842
DTXSID7024956,False,False,148.0,2.0,3.0,101-96-2,220.36000061,0.172871049509
DTXSID6044353,False,True,3300.0,3.0,5.0,101-97-3,164.203994751,-1.30313022146
DTXSID90143692,False,False,1950.0,3.0,4.0,101030-72-2,191.229995728,-1.00847859603
DTXSID4046785,False,False,213.0,2.0,3.0,101152-94-7,282.809997559,0.123115154613
DTXSID0057918,False,True,3940.0,3.0,5.0,101205-02-1,325.470001221,-1.08298525628
DTXSID1064956,False,True,6700.0,4.0,5.0,10126-87-1,590.559997559,-1.05481077664
DTXSID10143831,False,False,625.0,3.0,4.0,1013-99-6,186.210006714,-0.52587700158
DTXSID60884449,False,True,2830.0,3.0,5.0,10137-69-6,215.57,-1.1181981138
DTXSID70884450,False,True,8120.0,4.0,5.0,10137-90-3,168.28,-1.6835235259
DTXSID00143880,False,False,1600.0,3.0,4.0,10138-19-9,220.356002808,-0.860995096856
DTXSID60143881,False,True,7060.0,4.0,5.0,10138-43-9,148.20199585,-1.67795064869
DTXSID90884452,False,False,190.0,2.0,3.0,10138-79-1,267.6,0.148732508143
DTXSID6041842,False,False,1390.0,3.0,4.0,1014-69-3,213.300003052,-0.814023938591
DTXSID8037596,False,False,750.0,3.0,4.0,1014-70-6,213.300003052,-0.546070401729
DTXSID60143907,False,True,4500.0,3.0,5.0,1014-98-8,188.186004639,-1.37862519189
DTXSID90143910,False,False,1410.0,3.0,4.0,10140-84-8,235.100006104,-0.777966472256
DTXSID10143912,False,False,710.0,3.0,4.0,10140-97-3,183.589996338,-0.587409335545
DTXSID5042035,False,True,34000.0,4.0,5.0,10143-60-9,242.447006226,-2.1468620913
DTXSID50143931,False,True,3260.0,3.0,5.0,10143-67-6,178.227996826,-1.26224167415
DTXSID1046427,False,False,307.0,2.0,4.0,101477-54-7,541.460021973,0.246428021075
DTXSID6049016,False,True,3200.0,3.0,5.0,101526-62-9,349.869995117,-0.961243279375
DTXSID6046428,False,False,652.0,3.0,4.0,101530-10-3,319.829986572,-0.309328415895
DTXSID70144041,True,False,34.0,1.0,2.0,1016-46-2,221.270004272,0.813443627197
DTXSID80144173,True,False,39.01,1.0,2.0,10176-39-3,935.026000977,1.37964773748
DTXSID40144316,False,False,1200.0,3.0,4.0,101893-08-7,386.329986572,-0.492222827063
DTXSID4057920,False,False,981.0,3.0,4.0,101903-30-4,345.398986816,-0.453347948094
DTXSID8064987,False,False,405.0,2.0,4.0,10193-95-0,238.320007324,-0.230294519661
DTXSID80144431,False,True,2001.0,3.0,5.0,101952-86-7,452.311004639,-0.645809934462
DTXSID0024397,False,True,2450.0,3.0,5.0,102-01-2,177.20300293,-1.14069500708
DTXSID3025178,False,False,107.0,2.0,3.0,102-06-7,211.268005371,0.295449954375
DTXSID4026139,True,False,50.0,1.0,2.0,102-08-9,228.309997559,0.659554925067
DTXSID3020540,False,False,1500.0,3.0,4.0,102-09-0,214.220001221,-0.845231241606
DTXSID0044494,False,True,15000.0,4.0,5.0,102-20-5,240.302001953,-1.79533387013
DTXSID6051514,False,True,5160.0,4.0,5.0,102-24-9,173.529998779,-1.4732751379
DTXSID4021848,False,False,580.0,3.0,4.0,102-27-2,135.210006714,-0.632419159207
DTXSID9042091,False,False,730.0,3.0,4.0,102-30-7,408.880004883,-0.251726986987
DTXSID9033008,False,False,91.0,2.0,3.0,102-36-3,188.009994507,0.31513954441
DTXSID9021849,False,False,72.5,2.0,3.0,102-69-2,143.274002075,0.295829385643
DTXSID5026174,False,False,1030.0,3.0,4.0,102-70-5,137.225997925,-0.875400826996
DTXSID9021392,False,True,5530.0,4.0,5.0,102-71-6,149.190002441,-1.56898541025
DTXSID3026691,False,True,3000.0,3.0,5.0,102-76-1,218.205001831,-1.13825655318
DTXSID1044354,False,True,4250.0,3.0,5.0,102-79-4,161.244995117,-1.4209026866
DTXSID2024953,False,False,1070.0,3.0,4.0,102-81-8,173.300003052,-0.790585207324
DTXSID4026183,False,False,114.0,2.0,3.0,102-82-9,185.354995728,0.211099444385
DTXSID8059261,False,False,820.0,3.0,4.0,102-83-0,186.343002319,-0.643500763913
DTXSID3059262,False,False,178.0,2.0,3.0,102-84-1,202.190002441,0.055339675198
DTXSID7051474,False,True,3000.0,3.0,5.0,102-85-2,250.319000244,-1.07862743912
DTXSID1051511,False,False,100.0,2.0,3.0,1020-84-4,292.679992676,0.466393035493
DTXSID20144677,False,True,3730.0,3.0,5.0,10213-74-8,174.240005493,-1.33056095571
DTXSID6025303,False,True,4920.0,3.0,5.0,10213-75-9,183.294998169,-1.42881448885
DTXSID20144793,False,False,1000.0,3.0,4.0,102207-73-8,266.389007568,-0.574483700113
DTXSID80144794,False,True,2001.0,3.0,5.0,102207-75-0,210.281005859,-0.978447042878
DTXSID00144796,False,False,1500.0,3.0,4.0,102207-77-2,182.227005005,-0.915478521679
DTXSID5032361,False,False,178.0,2.0,3.0,10222-01-2,241.869995117,0.13316199353
DTXSID8029072,False,True,3353.0,3.0,5.0,102268-15-5,195.173995972,-1.23501159952
DTXSID10144904,False,True,2460.0,3.0,5.0,10232-91-4,155.240997314,-1.19992868299
DTXSID00144933,False,False,820.0,3.0,4.0,10235-09-3,301.540008545,-0.434468909581
DTXSID10144944,False,True,2100.0,3.0,5.0,102366-79-0,227.270996094,-0.965675279335
DTXSID0045674,False,False,1533.0,3.0,4.0,102394-31-0,421.545013428,-0.560698198576
DTXSID1024126,True,False,15.0,1.0,2.0,1024-57-3,389.299987793,1.41419313104
DTXSID50145051,False,False,1500.0,3.0,4.0,102410-20-8,285.75,-0.720105019988
DTXSID10145052,False,False,1500.0,3.0,4.0,102410-31-1,265.339996338,-0.752288540247
DTXSID0026175,False,False,707.0,3.0,4.0,1025-15-6,249.270004272,-0.452749392665
DTXSID8046038,True,False,15.0,1.0,2.0,102518-79-6,242.322006226,1.20830159688
DTXSID0038831,False,True,4300.0,3.0,5.0,10258-54-5,143.141998291,-1.47770137982
DTXSID7045029,False,False,760.0,3.0,4.0,10262-69-8,277.411010742,-0.437689897585
DTXSID6024177,True,False,9.25,1.0,2.0,10265-92-6,141.119995117,1.18344682002
DTXSID4020618,False,False,200.0,2.0,3.0,102676-31-3,259.739990234,0.113508824204
DTXSID10145451,False,True,10700.0,4.0,5.0,10268-78-7,192.218002319,-1.74558971828
DTXSID90145499,False,False,128.0,2.0,3.0,102771-12-0,309.368988037,0.383266807074
DTXSID3021851,False,True,2200.0,3.0,5.0,103-05-9,164.248001099,-1.12692258793
DTXSID6051518,False,True,4850.0,3.0,5.0,103-07-1,206.285003662,-1.37127408147
DTXSID8026694,False,True,3000.0,3.0,5.0,103-09-3,172.268005371,-1.24091662951
DTXSID9025297,False,True,4435.0,3.0,5.0,103-11-7,184.279,-1.3814177773
DTXSID7059270,False,False,1950.0,3.0,4.0,103-18-4,213.240005493,-0.961165926322
DTXSID0020606,False,True,7350.0,4.0,5.0,103-23-1,370.574005127,-1.29741238774
DTXSID6042151,False,True,2610.0,3.0,5.0,103-26-4,162.18800354,-1.20662177947
DTXSID6047602,False,True,2850.0,3.0,5.0,103-28-6,178.231002808,-1.20386160937
DTXSID8041668,False,True,4518.0,3.0,5.0,103-29-7,182.26600647,-1.39424054849
DTXSID8020123,False,False,1000.0,3.0,4.0,103-33-3,182.225997925,-0.739389662765
DTXSID8026698,False,True,4300.0,3.0,5.0,103-34-4,236.350006104,-1.25991283773
DTXSID9022520,False,True,4000.0,3.0,5.0,103-36-6,176.214996338,-1.35601712613
DTXSID7047510,False,True,2330.0,3.0,5.0,103-37-7,178.231002808,-1.11637267039
DTXSID3041663,False,True,5380.0,4.0,5.0,103-41-3,238.285995483,-1.35368375687
DTXSID20870444,False,False,1350.0,3.0,4.0,103-44-6,156.269,-0.93646093548
DTXSID7044506,False,True,3670.0,3.0,5.0,103-45-7,164.203994751,-1.34928234583
DTXSID7044764,False,True,5200.0,4.0,5.0,103-48-0,192.257995605,-1.43211893339
DTXSID5025819,False,True,2500.0,3.0,5.0,103-50-4,198.26499939,-1.10069395565
DTXSID1047605,False,True,5001.0,4.0,5.0,103-53-7,252.31300354,-1.29711722107
DTXSID2044765,False,True,3300.0,3.0,5.0,103-54-8,176.214996338,-1.27247107468
DTXSID1047607,False,True,3400.0,3.0,5.0,103-56-0,190.242004395,-1.25217250401
DTXSID1033876,False,False,811.0,3.0,4.0,103-63-9,185.063995361,-0.64169892026
DTXSID3042219,False,True,6040.0,4.0,5.0,103-65-1,120.194999695,-1.70115053793
DTXSID1025271,False,False,334.0,2.0,4.0,103-69-5,121.182998657,-0.440304771959
DTXSID5051521,False,False,800.0,3.0,4.0,103-71-9,119.123001099,-0.827094360809
DTXSID2044767,False,True,3842.0,3.0,5.0,103-74-2,123.154998779,-1.49410531627
DTXSID40883293,False,True,6160.0,4.0,5.0,103-75-3,128.171,-1.68179093944
DTXSID2021656,False,True,2250.0,3.0,5.0,103-82-2,136.149993896,-1.2181648919
DTXSID8021854,False,False,265.0,2.0,3.0,103-83-3,135.210006714,-0.292237039581
DTXSID2022543,False,False,800.0,3.0,4.0,103-84-4,135.166000366,-0.772222524013
DTXSID9021134,True,False,3.0,1.0,1.0,103-85-5,152.220001221,1.70535046637
DTXSID2020006,False,False,1944.0,3.0,4.0,103-90-2,151.164993286,-1.10924503148
DTXSID2044769,False,True,3810.0,3.0,5.0,103-95-7,190.285995483,-1.30151814907
DTXSID90893620,False,True,2500.0,3.0,5.0,10305-38-1,176.256,-1.15179609877
DTXSID3037541,True,False,18.0,1.0,2.0,1031-07-8,422.899993896,1.37096517378
DTXSID2042482,True,False,20.0,1.0,2.0,1031-47-6,294.29901123,1.16775880732
DTXSID20872766,False,True,10000.0,4.0,5.0,10310-38-0,574.242,-1.24090504642
DTXSID0037522,True,False,5.0,1.0,2.0,10311-84-9,393.839996338,1.89634981439
DTXSID90145651,False,True,2330.0,3.0,5.0,10312-83-1,74.0790023804,-1.49766079594
DTXSID90145676,False,False,800.0,3.0,4.0,103150-29-4,494.070007324,-0.209301496286
DTXSID8020414,False,False,1000.0,3.0,4.0,10318-26-0,307.966003418,-0.511497222925
DTXSID0047030,False,True,3543.0,3.0,5.0,10326-41-7,90.0780029297,-1.59475240323
DTXSID5023249,True,False,10.0,1.0,2.0,10331-57-4,345.089996338,1.5379323699
DTXSID4040713,False,False,1960.0,3.0,4.0,1034-01-1,282.335998535,-0.841489816063
DTXSID80145862,False,True,2380.0,3.0,5.0,103446-98-6,337.380004883,-0.848457616878
DTXSID2065046,False,False,1600.0,3.0,4.0,10347-54-3,194.23399353,-0.915794743126
DTXSID2044507,False,False,760.0,3.0,4.0,10347-81-6,313.869995117,-0.384063791642
DTXSID90146128,False,False,332.0,2.0,4.0,10389-72-7,220.13999939,-0.178439122769
DTXSID1046429,False,False,880.0,3.0,4.0,103890-78-4,455.550994873,-0.285945672724
DTXSID40146133,False,False,1450.0,3.0,4.0,1039-59-4,330.510009766,-0.642183385251
DTXSID1059288,False,False,1550.0,3.0,4.0,104-01-8,166.175994873,-0.969763410654
DTXSID7040732,False,False,138.0,2.0,3.0,104-12-1,153.570007324,0.0464273185815
DTXSID7043873,False,False,1240.0,3.0,4.0,104-14-3,153.180999756,-0.908216785485
DTXSID0026701,False,False,400.0,2.0,4.0,104-15-4,172.199996948,-0.366026851907
DTXSID5033836,False,False,1620.0,3.0,4.0,104-40-5,220.356002808,-0.866390128743
DTXSID0042325,False,True,4400.0,3.0,5.0,104-45-0,150.220993042,-1.46672204791
DTXSID4020086,False,True,2090.0,3.0,5.0,104-46-1,148.205001831,-1.14928342504
DTXSID1047609,False,True,4400.0,3.0,5.0,104-50-7,142.197998047,-1.49055919432
DTXSID9041491,False,True,2001.0,3.0,5.0,104-54-1,134.177993774,-1.17356579461
DTXSID1024835,False,True,2200.0,3.0,5.0,104-55-2,132.162002563,-1.22131607022
DTXSID5059298,False,False,1400.0,3.0,4.0,104-57-4,136.149993896,-1.01211040947
DTXSID0034229,False,True,6600.0,4.0,5.0,104-61-0,156.225006104,-1.62579338524
DTXSID2059300,False,True,3220.0,3.0,5.0,104-62-1,150.177001953,-1.33125244162
DTXSID4034287,False,True,18500.0,4.0,5.0,104-67-6,184.279006958,-2.00169586514
DTXSID0051528,False,True,2140.0,3.0,5.0,104-68-7,182.218994141,-1.06982012837
DTXSID4025298,False,False,450.0,2.0,4.0,104-75-6,129.246994019,-0.541792062561
DTXSID5020605,False,True,2047.0,3.0,5.0,104-76-7,130.231002808,-1.19640345793
DTXSID7059303,False,False,410.0,2.0,4.0,104-78-9,130.23500061,-0.498056140313
DTXSID6026169,False,True,3800.0,3.0,5.0,104-85-8,117.151000977,-1.51103759291
DTXSID9041520,False,False,1600.0,3.0,4.0,104-87-0,120.151000977,-1.1243925894
DTXSID2021860,False,False,1575.0,3.0,4.0,104-88-1,140.570007324,-1.04938789066
DTXSID7021861,False,False,368.0,2.0,4.0,104-90-5,121.182998657,-0.482406123821
DTXSID9026710,False,False,1920.0,3.0,4.0,104-93-8,122.166999817,-1.19634732012
DTXSID7024532,False,False,1320.0,3.0,4.0,104-94-9,123.154998779,-1.03012188695
DTXSID1046631,False,False,763.0,3.0,4.0,10402-53-6,453.450012207,-0.22599512003
DTXSID7023724,False,False,1510.0,3.0,4.0,10405-02-4,427.970001221,-0.54756361931
DTXSID40146335,False,False,1000.0,3.0,4.0,10419-79-1,200.600006104,-0.697669058102
DTXSID00146356,False,False,1800.0,3.0,4.0,10423-37-7,235.285995483,-0.883676426909
DTXSID5041356,False,False,700.0,3.0,4.0,10433-59-7,271.070007324,-0.412016572505
DTXSID2051475,False,False,350.0,2.0,4.0,10436-39-2,179.850006104,-0.289157587457
DTXSID4058287,False,False,1420.0,3.0,4.0,10443-70-6,256.730010986,-0.742811704991
DTXSID70883140,False,False,1030.0,3.0,4.0,104485-01-0,374.525,-0.439356412016
DTXSID10146509,False,False,830.0,3.0,4.0,1045-21-2,369.929992676,-0.350958548502
DTXSID7022253,False,False,1244.0,3.0,4.0,10453-86-8,338.446990967,-0.56532972309
DTXSID0022690,False,False,359.0,2.0,4.0,10457-90-6,420.321990967,0.0684876640198
DTXSID40146613,False,False,154.0,2.0,3.0,104606-13-5,413.559997559,0.429017803254
DTXSID4032374,True,False,0.55,1.0,1.0,104653-34-1,539.489990234,2.99162070164
DTXSID50146649,False,False,383.0,2.0,4.0,104683-52-5,330.432006836,-0.0641166659529
DTXSID50883148,False,False,483.0,2.0,4.0,104719-71-3,314.82,-0.18588481617
DTXSID8048654,False,False,105.0,2.0,3.0,104757-53-1,528.0,0.701444623464
DTXSID40146830,False,False,1760.0,3.0,4.0,104907-80-4,298.302001953,-0.770856499822
DTXSID60146832,False,False,1825.0,3.0,4.0,104907-82-6,326.355987549,-0.747571283826
DTXSID5046354,False,False,134.0,2.0,3.0,104987-11-3,804.031005859,0.778167998411
DTXSID4051532,False,False,1950.0,3.0,4.0,105-01-1,196.246002197,-0.997233793035
DTXSID9026712,False,True,3200.0,3.0,5.0,105-08-8,144.214004517,-1.34614254187
DTXSID8021222,False,False,464.0,2.0,4.0,105-11-3,138.12600708,-0.526242523063
DTXSID5029138,False,False,1020.0,3.0,4.0,105-12-4,136.11000061,-0.874710135829
DTXSID4026713,False,True,4696.0,3.0,5.0,105-16-8,185.266998291,-1.40393002314
DTXSID0043769,False,True,3170.0,3.0,5.0,105-28-2,308.553985596,-1.01172810164
DTXSID9026714,False,False,1410.0,3.0,4.0,105-30-6,102.177001953,-1.13986595706
DTXSID4051536,False,False,126.0,2.0,3.0,105-31-7,98.1449966431,-0.108502380618
DTXSID1040110,False,True,8732.0,4.0,5.0,105-37-3,102.133003235,-1.93194762445
DTXSID9051537,False,True,4760.0,3.0,5.0,105-38-4,100.116996765,-1.67709913923
DTXSID4026715,True,False,50.0,1.0,2.0,105-39-5,122.550003052,0.389343322067
DTXSID9026716,False,True,2580.0,3.0,5.0,105-45-3,116.115997314,-1.3467276493
DTXSID0047612,False,True,3200.0,3.0,5.0,105-46-4,116.160003662,-1.44009336127
DTXSID4026717,False,True,7340.0,4.0,5.0,105-52-2,284.395996094,-1.41177258209
DTXSID6040111,False,True,13000.0,4.0,5.0,105-54-4,116.160003662,-2.04888673526
DTXSID8020466,False,False,316.0,2.0,4.0,105-55-5,132.229995728,-0.378357098715
DTXSID6030607,False,True,4600.0,3.0,5.0,105-57-7,118.176002502,-1.59022853651
DTXSID8025591,False,False,1945.0,3.0,4.0,105-59-9,119.164001465,-1.21277452749
DTXSID4020240,False,False,1200.0,3.0,4.0,105-60-2,113.160003662,-1.02548829321
DTXSID3026722,False,True,2140.0,3.0,5.0,105-64-6,206.194000244,-1.01613774916
DTXSID6059318,False,True,15000.0,4.0,5.0,105-66-8,130.18699646,-2.06152365153
DTXSID2021864,False,True,2300.0,3.0,5.0,105-67-9,122.166999817,-1.27477392743
DTXSID7021865,False,True,8530.0,4.0,5.0,105-75-9,228.287994385,-1.57246595853
DTXSID3026724,False,True,3700.0,3.0,5.0,105-76-0,228.287994385,-1.20971865143
DTXSID1044772,False,True,8400.0,4.0,5.0,105-85-1,184.279006958,-1.6588034228
DTXSID0020654,False,True,6330.0,4.0,5.0,105-87-3,196.289993286,-1.50850554985
DTXSID2021866,False,True,12900.0,4.0,5.0,105-99-7,258.358,-1.69836779637
DTXSID1057612,False,False,760.0,3.0,4.0,1050-48-2,434.37399292,-0.242949777241
DTXSID9051533,False,False,1700.0,3.0,4.0,10508-09-5,174.283996582,-0.989191411005
DTXSID60146938,False,True,2081.0,3.0,5.0,105084-66-0,338.450012207,-0.788777546114
DTXSID70668237,False,True,2001.0,3.0,5.0,105112-76-3,370.45199585,-0.732515149704
DTXSID60884484,False,False,800.0,3.0,4.0,10520-81-7,307.272,-0.41556699979
DTXSID40147064,False,False,650.0,3.0,4.0,1053-74-3,381.540008545,-0.231373271549
DTXSID1042106,False,False,87.0,2.0,3.0,10537-47-0,282.386993408,0.511325436853
DTXSID1034187,False,True,4100.0,3.0,5.0,10540-29-1,371.523986816,-1.04279699823
DTXSID5040752,False,True,7940.0,4.0,5.0,10543-57-4,228.248001099,-1.54141351958
DTXSID80147129,False,False,190.0,2.0,3.0,10543-95-0,184.037002563,-0.0138484497177
