INPUT	FOUND_BY	DTXSID	PREFERRED_NAME	CASRN	SMILES
3'-Azido-3'-deoxythymidine	Approved Name	DTXSID8020127	3'-Azido-3'-deoxythymidine	30516-87-1	CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O
Benzidine	Approved Name	DTXSID2020137	Benzidine	92-87-5	NC1=CC=C(C=C1)C1=CC=C(N)C=C1
Sodium benzoate	Approved Name	DTXSID1020140	Sodium benzoate	532-32-1	[Na+].[O-]C(=O)C1=CC=CC=C1
2,3-Benzofuran	Approved Name	DTXSID6020141	2,3-Benzofuran	271-89-6	O1C=CC2=C1C=CC=C2
Benzoic acid	Approved Name	DTXSID6020143	Benzoic acid	65-85-0	OC(=O)C1=CC=CC=C1
Benzoin	Approved Name	DTXSID1020144	Benzoin	119-53-9	OC(C(=O)C1=CC=CC=C1)C1=CC=CC=C1
1,2,3-Benzotriazole	Approved Name	DTXSID6020147	1,2,3-Benzotriazole	95-14-7	N1N=NC2=C1C=CC=C2
Benzotrichloride	Approved Name	DTXSID1020148	Benzotrichloride	98-07-7	ClC(Cl)(Cl)C1=CC=CC=C1
Benzyl acetate	Approved Name	DTXSID0020151	Benzyl acetate	140-11-4	CC(=O)OCC1=CC=CC=C1
Benzyl alcohol	Approved Name	DTXSID5020152	Benzyl alcohol	100-51-6	OCC1=CC=CC=C1
Clorophene	Approved Name	DTXSID5020154	Clorophene	120-32-1	OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1
Bifenthrin	Approved Name	DTXSID9020160	Bifenthrin	82657-04-3	CC1=C(C=CC=C1COC(=O)[C@@H]1[C@H](\C=C(/Cl)C(F)(F)F)C1(C)C)C1=CC=CC=C1
Biphenyl	Approved Name	DTXSID4020161	Biphenyl	92-52-4	C1=CC=C(C=C1)C1=CC=CC=C1
2,2-Bis(bromomethyl)-1,3-propanediol	Expert Validated Synonym	DTXSID9020164	Pentaerythritol dibromide	3296-90-0	OCC(CO)(CBr)CBr
Bis(2-chloroethyl) ether	Approved Name	DTXSID9020168	Bis(2-chloroethyl) ether	111-44-4	ClCCOCCCl
Diisopropanolamine	Approved Name	DTXSID8020179	Diisopropanolamine	110-97-4	CC(O)CNCC(C)O
Bisphenol A	Approved Name	DTXSID7020182	Bisphenol A	80-05-7	CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1
FD&C Blue No. 1	Approved Name	DTXSID2020189	FD&C Blue No. 1	3844-45-9	[Na+].[Na+].CCN(CC1=CC(=CC=C1)S([O-])(=O)=O)C1=CC=C(C=C1)C(=C1C=CC(C=C1)=[N+](CC)CC1=CC(=CC=C1)S([O-])(=O)=O)C1=C(C=CC=C1)S([O-])(=O)=O
C.I. Acid Blue 74	Approved Name	DTXSID1020190	C.I. Acid Blue 74	860-22-0	[Na+].[Na+].[O-]S(=O)(=O)C1=CC=C2NC(C(=O)C2=C1)=C1NC2=CC=C(C=C2C1=O)S([O-])(=O)=O
Boric acid	Synonym from Valid Source	DTXSID1020194	Boric acid (H3BO3)	10043-35-3	OB(O)O
Bromocriptine mesylate	Approved Name	DTXSID6020197	Bromocriptine mesylate	22260-51-1	CS(O)(=O)=O.CC(C)C[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)[C@@H]4CC5=C(Br)NC6=CC=CC(=C56)C4=C3)(O[C@@]2(O)[C@@H]2CCCN2C1=O)C(C)C
Butyl benzyl phthalate	Integrated Source Name	DTXSID3020205	Benzyl butyl phthalate	85-68-7	CCCCOC(=O)C1=C(C=CC=C1)C(=O)OCC1=CC=CC=C1
Dinoseb	Approved Name	DTXSID3020207	Dinoseb	88-85-7	CCC(C)C1=CC(=CC(=C1O)[N+]([O-])=O)[N+]([O-])=O
Butylparaben	Approved Name	DTXSID3020209	Butylparaben	94-26-8	CCCCOC(=O)C1=CC=C(O)C=C1
2-tert-Butyl-4-methylphenol	Expert Validated Synonym	DTXSID2020212	4-Methyl-2-tert-butylphenol	2409-55-4	CC1=CC(=C(O)C=C1)C(C)(C)C
Butylated hydroxytoluene	Approved Name	DTXSID2020216	Butylated hydroxytoluene	128-37-0	CC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C
tert-Butylhydroquinone	Approved Name	DTXSID6020220	tert-Butylhydroquinone	1948-33-0	CC(C)(C)C1=CC(O)=CC=C1O
4-tert-Butylphenol	Integrated Source Name	DTXSID1020221	4-tert-Butylphenol	98-54-4	CC(C)(C)C1=CC=C(O)C=C1
4-Butyrolactone	Approved Name	DTXSID6020224	4-Butyrolactone	96-48-0	O=C1CCCO1
Caffeine	Approved Name	DTXSID0020232	Caffeine	58-08-2	CN1C=NC2=C1C(=O)N(C)C(=O)N2C
Ergocalciferol	Approved Name	DTXSID5020233	Ergocalciferol	50-14-6	[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C)[C@H](C)\C=C\[C@H](C)C(C)C
Caprolactam	Approved Name	DTXSID4020240	Caprolactam	105-60-2	O=C1CCCCCN1
Captafol	Approved Name	DTXSID4020242	Captafol	2425-06-1	ClC(Cl)C(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O
Captan	Approved Name	DTXSID9020243	Captan	133-06-2	ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O
Carbaryl	Approved Name	DTXSID9020247	Carbaryl	63-25-2	CNC(=O)OC1=C2C=CC=CC2=CC=C1
Carbofuran	Approved Name	DTXSID9020249	Carbofuran	1563-66-2	CNC(=O)OC1=CC=CC2=C1OC(C)(C)C2
Catechol	Expert Validated Synonym	DTXSID3022322	Cianidanol	154-23-4	O[C@H]1CC2=C(O)C=C(O)C=C2O[C@@H]1C1=CC(O)=C(O)C=C1
Chloramben	Approved Name	DTXSID2020262	Chloramben	133-90-4	NC1=C(Cl)C(=CC(Cl)=C1)C(O)=O
Chlordane	Approved Name	DTXSID7020267	Chlordane	57-74-9	ClC1CC2C(C1Cl)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl
Chlorendic acid	Approved Name	DTXSID2020268	Chlorendic acid	115-28-6	OC(=O)C1C(C(O)=O)C2(Cl)C(Cl)=C(Cl)C1(Cl)C2(Cl)Cl
1-Chloro-2,4-dinitrobenzene	Approved Name	DTXSID6020278	1-Chloro-2,4-dinitrobenzene	97-00-7	[O-][N+](=O)C1=CC(=C(Cl)C=C1)[N+]([O-])=O
1-Chloro-4-nitrobenzene	Approved Name	DTXSID5020281	1-Chloro-4-nitrobenzene	100-00-5	[O-][N+](=O)C1=CC=C(Cl)C=C1
4-Chloro-1,2-diaminobenzene	Approved Name	DTXSID5020283	4-Chloro-1,2-diaminobenzene	95-83-0	NC1=C(N)C=C(Cl)C=C1
3-Chloro-4-methylaniline	Approved Name	DTXSID0020286	3-Chloro-4-methylaniline	95-74-9	CC1=C(Cl)C=C(N)C=C1
Pirinixic acid	Approved Name	DTXSID4020290	Pirinixic acid	50892-23-4	CC1=C(C)C(NC2=NC(SCC(O)=O)=NC(Cl)=C2)=CC=C1
Chloroacetaldehyde	Approved Name	DTXSID4020292	Chloroacetaldehyde	107-20-0	ClCC=O
2-Chloroacetophenone	Approved Name	DTXSID9020293	2-Chloroacetophenone	532-27-4	ClCC(=O)C1=CC=CC=C1
4-Chloroaniline	Approved Name	DTXSID9020295	4-Chloroaniline	106-47-8	NC1=CC=C(Cl)C=C1
Chlorobenzilate	Approved Name	DTXSID9020299	Chlorobenzilate	510-15-6	CCOC(=O)C(O)(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1
Chloromethyl methyl ether	Approved Name	DTXSID6020307	Chloromethyl methyl ether	107-30-2	COCCl
Monuron	Approved Name	DTXSID0020311	Monuron	150-68-5	CN(C)C(=O)NC1=CC=C(Cl)C=C1
Chlorothalonil	Approved Name	DTXSID0020319	Chlorothalonil	1897-45-6	ClC1=C(Cl)C(C#N)=C(Cl)C(C#N)=C1Cl
Citric acid	Approved Name	DTXSID3020332	Citric acid	77-92-9	OC(=O)CC(O)(CC(O)=O)C(O)=O
Clofibrate	Approved Name	DTXSID3020336	Clofibrate	637-07-0	CCOC(=O)C(C)(C)OC1=CC=C(Cl)C=C1
Clomiphene citrate	Expert Validated Synonym	DTXSID8020337	Clomiphene citrate (1:1)	50-41-9	OC(=O)CC(O)(CC(O)=O)C(O)=O.CCN(CC)CCOC1=CC=C(C=C1)C(=C(Cl)C1=CC=CC=C1)C1=CC=CC=C1
Coumaphos	Approved Name	DTXSID2020347	Coumaphos	56-72-4	CCOP(=S)(OCC)OC1=CC2=C(C=C1)C(C)=C(Cl)C(=O)O2
Coumarin	Approved Name	DTXSID7020348	Coumarin	91-64-5	O=C1OC2=C(C=CC=C2)C=C1
2-Methoxy-5-methylaniline	Approved Name	DTXSID1020350	2-Methoxy-5-methylaniline	120-71-8	COC1=CC=C(C)C=C1N
Cupferron	Approved Name	DTXSID1020352	Cupferron	135-20-6	[NH4+].[O-]N(N=O)C1=CC=CC=C1
Cyanoguanidine	Approved Name	DTXSID1020354	Cyanoguanidine	461-58-5	NC(=N)NC#N
Cyclohexanone	Approved Name	DTXSID6020359	Cyclohexanone	108-94-1	O=C1CCCCC1
Cyproterone acetate	Approved Name	DTXSID5020366	Cyproterone acetate	427-51-0	CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@]12C)C(C)=O
Daminozide	Approved Name	DTXSID9020370	Daminozide	1596-84-5	CN(C)NC(=O)CCC(O)=O
Dapsone	Approved Name	DTXSID4020371	Dapsone	80-08-0	NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1
o,p'-DDD	Synonym	DTXSID9020372	1-(2-Chlorophenyl)-1-(4-chlorophenyl)-2,2-dichloroethane	53-19-0	ClC(Cl)C(C1=CC=C(Cl)C=C1)C1=C(Cl)C=CC=C1
p,p'-DDD	Approved Name	DTXSID4020373	p,p'-DDD	72-54-8	ClC(Cl)C(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1
p,p'-DDE	Approved Name	DTXSID9020374	p,p'-DDE	72-55-9	ClC(Cl)=C(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1
p,p'-DDT	Expert Validated Synonym	DTXSID4020375	Dichlorodiphenyltrichloroethane	50-29-3	ClC1=CC=C(C=C1)C(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl
Dehydroepiandrosterone	Approved Name	DTXSID4020379	Dehydroepiandrosterone	53-43-0	[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C
Deltamethrin	Approved Name	DTXSID8020381	Deltamethrin	52918-63-5	CC1(C)[C@@H](C=C(Br)Br)[C@H]1C(=O)O[C@H](C#N)C1=CC=CC(OC2=CC=CC=C2)=C1
Diallyl phthalate	Approved Name	DTXSID7020392	Diallyl phthalate	131-17-9	C=CCOC(=O)C1=C(C=CC=C1)C(=O)OCC=C
2,4-Diaminotoluene	Approved Name	DTXSID4020402	2,4-Diaminotoluene	95-80-7	CC1=C(N)C=C(N)C=C1
Diazinon	Approved Name	DTXSID9020407	Diazinon	333-41-5	CCOP(=S)(OCC)OC1=NC(=NC(C)=C1)C(C)C
Dibenz(a,h)anthracene	Approved Name	DTXSID9020409	Dibenz(a,h)anthracene	53-70-3	C1=CC2=CC=C3C=C4C(C=CC5=CC=CC=C45)=CC3=C2C=C1
1,2-Dibromoethane	Approved Name	DTXSID3020415	1,2-Dibromoethane	106-93-4	BrCCBr
Propyzamide	Approved Name	DTXSID2020420	Propyzamide	23950-58-5	CC(C)(NC(=O)C1=CC(Cl)=CC(Cl)=C1)C#C
Dichlone	Approved Name	DTXSID7020425	Dichlone	117-80-6	ClC1=C(Cl)C(=O)C2=C(C=CC=C2)C1=O
Dicloran	Approved Name	DTXSID2020426	Dicloran	99-30-9	NC1=C(Cl)C=C(C=C1Cl)[N+]([O-])=O
Dichloroacetic acid	Approved Name	DTXSID2020428	Dichloroacetic acid	79-43-6	OC(=O)C(Cl)Cl
1,2-Dichlorobenzene	Approved Name	DTXSID6020430	1,2-Dichlorobenzene	95-50-1	ClC1=C(Cl)C=CC=C1
1,4-Dichlorobenzene	Approved Name	DTXSID1020431	1,4-Dichlorobenzene	106-46-7	ClC1=CC=C(Cl)C=C1
2,4-Dichlorophenol	Approved Name	DTXSID1020439	2,4-Dichlorophenol	120-83-2	OC1=C(Cl)C=C(Cl)C=C1
Dichlorprop	Approved Name	DTXSID0020440	Dichlorprop	120-36-5	CC(OC1=C(Cl)C=C(Cl)C=C1)C(O)=O
2,4-Dichlorophenoxyacetic acid	Approved Name	DTXSID0020442	2,4-Dichlorophenoxyacetic acid	94-75-7	OC(=O)COC1=C(Cl)C=C(Cl)C=C1
2,4-D 1-butyl ester	Integrated Source Name	DTXSID5020443	2,4-D Butyl ester	94-80-4	CCCCOC(=O)COC1=C(Cl)C=C(Cl)C=C1
Diuron	Approved Name	DTXSID0020446	Diuron	330-54-1	CN(C)C(=O)NC1=CC(Cl)=C(Cl)C=C1
Dichlorvos	Approved Name	DTXSID5020449	Dichlorvos	62-73-7	COP(=O)(OC)OC=C(Cl)Cl
Dicofol	Approved Name	DTXSID4020450	Dicofol	115-32-2	OC(C1=CC=C(Cl)C=C1)(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl
Dieldrin	Approved Name	DTXSID9020453	Dieldrin	60-57-1	ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@@H]4C[C@@H]([C@H]5O[C@@H]45)[C@@H]3[C@@]1(Cl)C2(Cl)Cl
Chlorpyrifos	Approved Name	DTXSID4020458	Chlorpyrifos	2921-88-2	CCOP(=S)(OCC)OC1=NC(Cl)=C(Cl)C=C1Cl
Diethylene glycol	Approved Name	DTXSID8020462	Diethylene glycol	111-46-6	OCCOCCO
Diethylstilbestrol	Approved Name	DTXSID3020465	Diethylstilbestrol	56-53-1	CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1
N,N'-Diethylthiourea	Approved Name	DTXSID8020466	N,N'-Diethylthiourea	105-55-5	CCNC(=S)NCC
Dimethoate	Approved Name	DTXSID7020479	Dimethoate	60-51-5	CNC(=O)CSP(=S)(OC)OC
Dimethoxane	Approved Name	DTXSID6020480	Dimethoxane	828-00-2	CC1CC(OC(C)=O)OC(C)O1
3,3'-Dimethoxybenzidine dihydrochloride	Approved Name	DTXSID1020485	3,3'-Dimethoxybenzidine dihydrochloride	20325-40-0	Cl.Cl.COC1=CC(=CC=C1N)C1=CC=C(N)C(OC)=C1
Dimethyl hydrogen phosphite	Approved Name	DTXSID20242066	Dimethyl hydrogen phosphite	96-36-6	COP(O)OC
Dimethyl methylphosphonate	Approved Name	DTXSID0020494	Dimethyl methylphosphonate	756-79-6	COP(C)(=O)OC
Dimethyl terephthalate	Approved Name	DTXSID0020498	Dimethyl terephthalate	120-61-6	COC(=O)C1=CC=C(C=C1)C(=O)OC
N,N-Dimethylacetamide	Approved Name	DTXSID5020499	N,N-Dimethylacetamide	127-19-5	CN(C)C(C)=O
Methadone hydrochloride	Approved Name	DTXSID2020501	Methadone hydrochloride	1095-90-5	Cl.CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1
Dimethylaminoethanol	Approved Name	DTXSID2020505	Dimethylaminoethanol	108-01-0	CN(C)CCO
N,N-Dimethylaniline	Approved Name	DTXSID2020507	N,N-Dimethylaniline	121-69-7	CN(C)C1=CC=CC=C1
Dimethylarsinic acid	Approved Name	DTXSID7020508	Dimethylarsinic acid	75-60-5	C[As](C)(O)=O
7,12-Dimethylbenz(a)anthracene	Approved Name	DTXSID1020510	7,12-Dimethylbenz(a)anthracene	57-97-6	CC1=C2C=CC=CC2=C(C)C2=C3C=CC=CC3=CC=C12
3,3'-Dimethylbenzidine dihydrochloride	Approved Name	DTXSID6020511	3,3'-Dimethylbenzidine dihydrochloride	612-82-8	Cl.Cl.CC1=C(N)C=CC(=C1)C1=CC(C)=C(N)C=C1
Dimethylcarbamoyl chloride	Approved Name	DTXSID1020512	Dimethylcarbamoyl chloride	79-44-7	CN(C)C(Cl)=O
N,N-Dimethylformamide	Approved Name	DTXSID6020515	N,N-Dimethylformamide	68-12-2	CN(C)C=O
1,1-Dimethylhydrazine	Approved Name	DTXSID1020516	1,1-Dimethylhydrazine	57-14-7	CN(C)N
2,4-Dinitrophenol	Approved Name	DTXSID0020523	2,4-Dinitrophenol	51-28-5	OC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O
2,6-Dinitrotoluene	Approved Name	DTXSID5020528	2,6-Dinitrotoluene	606-20-2	CC1=C(C=CC=C1[N+]([O-])=O)[N+]([O-])=O
2,4-Dinitrotoluene	Approved Name	DTXSID0020529	2,4-Dinitrotoluene	121-14-2	CC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O
Diphenhydramine hydrochloride	Approved Name	DTXSID4020537	Diphenhydramine hydrochloride	147-24-0	Cl.CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1
5,5-Diphenylhydantoin	Approved Name	DTXSID8020541	5,5-Diphenylhydantoin	57-41-0	O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1
Endosulfan	Approved Name	DTXSID1020560	Endosulfan	115-29-7	ClC1=C(Cl)C2(Cl)C3COS(=O)OCC3C1(Cl)C2(Cl)Cl
Endrin	Approved Name	DTXSID6020561	Endrin	72-20-8	ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@H]4C[C@H]([C@@H]5O[C@H]45)[C@@H]3[C@@]1(Cl)C2(Cl)Cl
Sodium erythorbate (1:1)	Expert Validated Synonym	DTXSID5020570	Sodium erythorbate	6381-77-7	[Na+].OC[C@@H](O)[C@H]1OC(=O)C(O)=C1[O-]
17beta-Estradiol	Approved Name	DTXSID0020573	17beta-Estradiol	50-28-2	[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=CC=C(O)C=C3CC[C@@]21[H]
Estragole	Approved Name	DTXSID0020575	Estragole	140-67-0	COC1=CC=C(CC=C)C=C1
17alpha-Ethinylestradiol	Approved Name	DTXSID5020576	17alpha-Ethinylestradiol	57-63-6	[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3
Ethoxyquin	Approved Name	DTXSID9020582	Ethoxyquin	91-53-2	CCOC1=CC2=C(NC(C)(C)C=C2C)C=C1
Ethyl methylphenylglycidate	Approved Name	DTXSID8020591	Ethyl methylphenylglycidate	77-83-8	CCOC(=O)C1OC1(C)C1=CC=CC=C1
Ethylene glycol	Approved Name	DTXSID8020597	Ethylene glycol	107-21-1	OCCO
Ethylene thiourea	Approved Name	DTXSID5020601	Ethylene thiourea	96-45-7	S=C1NCCN1
4-Vinyl-1-cyclohexene dioxide	Approved Name	DTXSID0020604	4-Vinyl-1-cyclohexene dioxide	106-87-6	C1OC1C1CCC2OC2C1
2-Ethyl-1-hexanol	Integrated Source Name	DTXSID5020605	2-Ethyl-1-hexanol	104-76-7	CCCCC(CC)CO
Di(2-ethylhexyl) adipate	Synonym	DTXSID0020606	Bis(2-ethylhexyl)hexanedioate	103-23-1	CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC
Di(2-ethylhexyl) phthalate	Approved Name	DTXSID5020607	Di(2-ethylhexyl) phthalate	117-81-7	CCCCC(CC)COC(=O)C1=C(C=CC=C1)C(=O)OCC(CC)CCCC
1,8-Cineol	Approved Name	DTXSID4020616	1,8-Cineol	470-82-6	CC12CCC(CC1)C(C)(C)O2
Eugenol	Approved Name	DTXSID9020617	Eugenol	97-53-0	COC1=C(O)C=CC(CC=C)=C1
Fadrozole hydrochloride	Approved Name	DTXSID4020618	Fadrozole hydrochloride	102676-31-3	Cl.N#CC1=CC=C(C=C1)C1CCCC2=CN=CN12
Fenthion	Approved Name	DTXSID8020620	Fenthion	55-38-9	COP(=S)(OC)OC1=CC(C)=C(SC)C=C1
Fenvalerate	Approved Name	DTXSID101017940	Fenvalerate	51630-58-1	CC(C)C(C(=O)OC(C#N)C1=CC=CC(OC2=CC=CC=C2)=C1)C1=CC=C(Cl)C=C1
Finasteride	Approved Name	DTXSID3020625	Finasteride	98319-26-7	CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C
Fluconazole	Approved Name	DTXSID3020627	Fluconazole	86386-73-4	OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1
Fluometuron	Approved Name	DTXSID8020628	Fluometuron	2164-17-2	CN(C)C(=O)NC1=CC=CC(=C1)C(F)(F)F
5-Fluorouracil	Approved Name	DTXSID2020634	5-Fluorouracil	51-21-8	FC1=CNC(=O)NC1=O
Furfural	Approved Name	DTXSID1020647	Furfural	98-01-1	O=CC1=CC=CO1
Gemfibrozil	Approved Name	DTXSID0020652	Gemfibrozil	25812-30-0	CC1=CC(OCCCC(C)(C)C(O)=O)=C(C)C=C1
Gentian Violet	Approved Name	DTXSID5020653	Gentian Violet	548-62-9	[Cl-].CN(C)C1=CC=C(C=C1)C(C1=CC=C(C=C1)N(C)C)=C1C=CC(C=C1)=[N+](C)C
Geranyl acetate	Approved Name	DTXSID0020654	Geranyl acetate	105-87-3	CC(C)=CCC\C(C)=C\COC(C)=O
Gibberellic acid	Approved Name	DTXSID0020656	Gibberellic acid	77-06-5	C[C@@]12[C@H]3[C@H](C(O)=O)[C@@]45CC(=C)[C@@](O)(C4)CC[C@H]5[C@]3(OC1=O)C=C[C@@H]2O
Glycerol	Approved Name	DTXSID9020663	Glycerol	56-81-5	OCC(O)CO
3-Chloro-1,2-propanediol	Approved Name	DTXSID4020664	3-Chloro-1,2-propanediol	96-24-2	OCC(O)CCl
Glycidol	Approved Name	DTXSID4020666	Glycidol	556-52-5	OCC1CO1
FD&C Green No. 3	Approved Name	DTXSID3020673	FD&C Green No. 3	2353-45-9	[Na+].[Na+].CCN(CC1=CC(=CC=C1)S([O-])(=O)=O)C1=CC=C(C=C1)C(=C1C=CC(C=C1)=[N+](CC)CC1=CC(=CC=C1)S([O-])(=O)=O)C1=C(C=C(O)C=C1)S([O-])(=O)=O
Heptachlor	Approved Name	DTXSID3020679	Heptachlor	76-44-8	ClC1C=CC2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl
Hexachloro-1,3-butadiene	Approved Name	DTXSID7020683	Hexachloro-1,3-butadiene	87-68-3	ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl
beta-Hexachlorocyclohexane	Approved Name	DTXSID7020685	beta-Hexachlorocyclohexane	319-85-7	Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@H](Cl)[C@@H](Cl)[C@@H]1Cl
Lindane	Approved Name	DTXSID2020686	Lindane	58-89-9	Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl
Hexachlorocyclopentadiene	Approved Name	DTXSID2020688	Hexachlorocyclopentadiene	77-47-4	ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl
Methenamine	Approved Name	DTXSID6020692	Methenamine	100-97-0	C1N2CN3CN1CN(C2)C3
4-Hexylresorcinol	Approved Name	DTXSID1020699	4-Hexylresorcinol	136-77-6	CCCCCCC1=C(O)C=C(O)C=C1
1,2-Diphenylhydrazine	Approved Name	DTXSID7020710	1,2-Diphenylhydrazine	122-66-7	N(NC1=CC=CC=C1)C1=CC=CC=C1
Hydrochlorothiazide	Approved Name	DTXSID2020713	Hydrochlorothiazide	58-93-5	NS(=O)(=O)C1=CC2=C(NCNS2(=O)=O)C=C1Cl
