INPUT	FOUND_BY	DTXSID	PREFERRED_NAME	DTXCID	CASRN	QSAR_READY_SMILES
101-05-3	CAS-RN	DTXSID9020089	Anilazine	DTXCID6089	101-05-3	ClC1=CC=CC=C1NC1=NC(Cl)=NC(Cl)=N1
142-04-1	CAS-RN	DTXSID3020091	Aniline hydrochloride	DTXCID1091	142-04-1	NC1=CC=CC=C1
20265-97-8	CAS-RN	DTXSID3020093	p-Anisidinium chloride	DTXCID5093	20265-97-8	COC1=CC=C(N)C=C1
134-03-2	CAS-RN	DTXSID0020105	Sodium L-ascorbate	DTXCID60105	134-03-2	OCC(O)C1OC(=O)C(=O)C1O
50-81-7	CAS-RN	DTXSID5020106	L-Ascorbic acid	DTXCID90106	50-81-7	OCC(O)C1OC(=O)C(=O)C1O
22839-47-0	CAS-RN	DTXSID0020107	Aspartame	DTXCID20107	22839-47-0	COC(=O)C(CC1=CC=CC=C1)NC(=O)C(N)CC(O)=O
50-78-2	CAS-RN	DTXSID5020108	Aspirin	DTXCID50108	50-78-2	CC(=O)OC1=C(C=CC=C1)C(O)=O
1912-24-9	CAS-RN	DTXSID9020112	Atrazine	DTXCID90112	1912-24-9	CCNC1=NC(NC(C)C)=NC(Cl)=N1
2465-27-2	CAS-RN	DTXSID9020114	Auramine hydrochloride	DTXCID50114	2465-27-2	CN(C)C1=CC=C(C=C1)C(=N)C1=CC=C(C=C1)N(C)C
446-86-6	CAS-RN	DTXSID4020119	Azathioprine	DTXCID00119	446-86-6	CN1C=NC(=C1SC1=NC=NC2=C1NC=N2)[N+]([O-])=O
26628-22-8	CAS-RN	DTXSID8020121	Sodium azide	DTXCID80121	26628-22-8	-
86-50-0	CAS-RN	DTXSID3020122	Azinphos-methyl	DTXCID10122	86-50-0	COP(=S)(OC)SCN1N=NC2=C(C=CC=C2)C1=O
103-33-3	CAS-RN	DTXSID8020123	Azobenzene	DTXCID40123	103-33-3	C1=CC=C(C=C1)N=NC1=CC=CC=C1
30516-87-1	CAS-RN	DTXSID8020127	3'-Azido-3'-deoxythymidine	DTXCID60127	30516-87-1	CC1=CN(C2CC(N=[N+]=[N-])C(CO)O2)C(=O)N=C1O
92-87-5	CAS-RN	DTXSID2020137	Benzidine	DTXCID80137	92-87-5	NC1=CC=C(C=C1)C1=CC=C(N)C=C1
532-32-1	CAS-RN	DTXSID1020140	Sodium benzoate	DTXCID90140	532-32-1	OC(=O)C1=CC=CC=C1
271-89-6	CAS-RN	DTXSID6020141	2,3-Benzofuran	DTXCID20141	271-89-6	O1C=CC2=C1C=CC=C2
65-85-0	CAS-RN	DTXSID6020143	Benzoic acid	DTXCID80143	65-85-0	OC(=O)C1=CC=CC=C1
119-53-9	CAS-RN	DTXSID1020144	Benzoin	DTXCID10144	119-53-9	OC(C(=O)C1=CC=CC=C1)C1=CC=CC=C1
95-14-7	CAS-RN	DTXSID6020147	1,2,3-Benzotriazole	DTXCID00147	95-14-7	N1N=NC2=C1C=CC=C2
98-07-7	CAS-RN	DTXSID1020148	Benzotrichloride	DTXCID30148	98-07-7	ClC(Cl)(Cl)C1=CC=CC=C1
140-11-4	CAS-RN	DTXSID0020151	Benzyl acetate	DTXCID40151	140-11-4	CC(=O)OCC1=CC=CC=C1
100-51-6	CAS-RN	DTXSID5020152	Benzyl alcohol	DTXCID70152	100-51-6	OCC1=CC=CC=C1
120-32-1	CAS-RN	DTXSID5020154	Clorophene	DTXCID30154	120-32-1	OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1
82657-04-3	CAS-RN	DTXSID9020160	Bifenthrin	DTXCID9032402	82657-04-3	CC1=C(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)C=CC=C1C1=CC=CC=C1
92-52-4	CAS-RN	DTXSID4020161	Biphenyl	DTXCID60161	92-52-4	C1=CC=C(C=C1)C1=CC=CC=C1
3296-90-0	CAS-RN	DTXSID9020164	Pentaerythritol dibromide	DTXCID50164	3296-90-0	OCC(CO)(CBr)CBr
111-44-4	CAS-RN	DTXSID9020168	Bis(2-chloroethyl) ether	DTXCID70168	111-44-4	ClCCOCCCl
110-97-4	CAS-RN	DTXSID8020179	Diisopropanolamine	DTXCID20179	110-97-4	CC(O)CNCC(C)O
80-05-7	CAS-RN	DTXSID7020182	Bisphenol A	DTXCID30182	80-05-7	CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1
3844-45-9	CAS-RN	DTXSID2020189	FD&C Blue No. 1	DTXCID40189	3844-45-9	CCN(CC1=CC(=CC=C1)S(O)(=O)=O)C1=CC=C(C=C1)C(=C1C=CC(C=C1)=[N+](CC)CC1=CC=CC(=C1)S(O)(=O)=O)C1=C(C=CC=C1)S(O)(=O)=O
860-22-0	CAS-RN	DTXSID1020190	C.I. Acid Blue 74	DTXCID801022742	860-22-0	OS(=O)(=O)C1=CC2=C(NC(C2=O)C2=NC3=C(C=C(C=C3)S(O)(=O)=O)C2=O)C=C1
10043-35-3	CAS-RN	DTXSID1020194	Boric acid (H3BO3)	DTXCID10194	10043-35-3	-
22260-51-1	CAS-RN	DTXSID6020197	Bromocriptine mesylate	DTXCID00197	22260-51-1	CC(C)CC1N2C(=O)C(NC(=O)C3CN(C)C4CC5=C(Br)NC6=CC=CC(=C56)C4=C3)(OC2(O)C2CCCN2C1=O)C(C)C
85-68-7	CAS-RN	DTXSID3020205	Benzyl butyl phthalate	DTXCID70205	85-68-7	CCCCOC(=O)C1=C(C=CC=C1)C(=O)OCC1=CC=CC=C1
88-85-7	CAS-RN	DTXSID3020207	Dinoseb	DTXCID30207	88-85-7	CCC(C)C1=CC(=CC(=C1O)[N+]([O-])=O)[N+]([O-])=O
94-26-8	CAS-RN	DTXSID3020209	Butylparaben	DTXCID90209	94-26-8	CCCCOC(=O)C1=CC=C(O)C=C1
2409-55-4	CAS-RN	DTXSID2020212	4-Methyl-2-tert-butylphenol	DTXCID00212	2409-55-4	CC1=CC(=C(O)C=C1)C(C)(C)C
128-37-0	CAS-RN	DTXSID2020216	Butylated hydroxytoluene	DTXCID20216	128-37-0	CC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C
1948-33-0	CAS-RN	DTXSID6020220	tert-Butylhydroquinone	DTXCID60220	1948-33-0	CC(C)(C)C1=CC(O)=CC=C1O
98-54-4	CAS-RN	DTXSID1020221	4-tert-Butylphenol	DTXCID90221	98-54-4	CC(C)(C)C1=CC=C(O)C=C1
96-48-0	CAS-RN	DTXSID6020224	4-Butyrolactone	DTXCID80224	96-48-0	O=C1CCCO1
58-08-2	CAS-RN	DTXSID0020232	Caffeine	DTXCID40232	58-08-2	CN1C=NC2=C1C(=O)N(C)C(=O)N2C
50-14-6	CAS-RN	DTXSID5020233	Ergocalciferol	DTXCID70233	50-14-6	CC(C)C(C)C=CC(C)C1CCC2C(CCCC12C)=CC=C1CC(O)CCC1=C
105-60-2	CAS-RN	DTXSID4020240	Caprolactam	DTXCID00240	105-60-2	O=C1CCCCCN1
6/1/2425	Not CAS Number Format	-	-	-	-	-
133-06-2	CAS-RN	DTXSID9020243	Captan	DTXCID90243	133-06-2	ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O
63-25-2	CAS-RN	DTXSID9020247	Carbaryl	DTXCID10247	63-25-2	CNC(=O)OC1=C2C=CC=CC2=CC=C1
1563-66-2	CAS-RN	DTXSID9020249	Carbofuran	DTXCID70249	1563-66-2	CNC(=O)OC1=CC=CC2=C1OC(C)(C)C2
120-80-9	CAS-RN	DTXSID3020257	1,​2-​Benzenediol	DTXCID30257	120-80-9	OC1=C(O)C=CC=C1
133-90-4	CAS-RN	DTXSID2020262	Chloramben	DTXCID00262	133-90-4	NC1=C(Cl)C(=CC(Cl)=C1)C(O)=O
57-74-9	CAS-RN	DTXSID7020267	Chlordane	DTXCID0028117	57-74-9	ClC1CC2C(C1Cl)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl
115-28-6	CAS-RN	DTXSID2020268	Chlorendic acid	DTXCID80268	115-28-6	OC(=O)C1C(C(O)=O)C2(Cl)C(Cl)=C(Cl)C1(Cl)C2(Cl)Cl
97-00-7	CAS-RN	DTXSID6020278	1-Chloro-2,4-dinitrobenzene	DTXCID00278	97-00-7	[O-][N+](=O)C1=CC(=C(Cl)C=C1)[N+]([O-])=O
100-00-5	CAS-RN	DTXSID5020281	1-Chloro-4-nitrobenzene	DTXCID10281	100-00-5	[O-][N+](=O)C1=CC=C(Cl)C=C1
95-83-0	CAS-RN	DTXSID5020283	4-Chloro-1,2-diaminobenzene	DTXCID70283	95-83-0	NC1=C(N)C=C(Cl)C=C1
95-74-9	CAS-RN	DTXSID0020286	3-Chloro-4-methylaniline	DTXCID60286	95-74-9	CC1=C(Cl)C=C(N)C=C1
50892-23-4	CAS-RN	DTXSID4020290	Pirinixic acid	DTXCID00290	50892-23-4	CC1=C(C)C(NC2=NC(SCC(O)=O)=NC(Cl)=C2)=CC=C1
107-20-0	CAS-RN	DTXSID4020292	Chloroacetaldehyde	DTXCID60292	107-20-0	ClCC=O
532-27-4	CAS-RN	DTXSID9020293	2-Chloroacetophenone	DTXCID90293	532-27-4	ClCC(=O)C1=CC=CC=C1
106-47-8	CAS-RN	DTXSID9020295	4-Chloroaniline	DTXCID50295	106-47-8	NC1=CC=C(Cl)C=C1
510-15-6	CAS-RN	DTXSID9020299	Chlorobenzilate	DTXCID70299	510-15-6	CCOC(=O)C(O)(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1
107-30-2	CAS-RN	DTXSID6020307	Chloromethyl methyl ether	DTXCID40307	107-30-2	COCCl
150-68-5	CAS-RN	DTXSID0020311	Monuron	DTXCID80311	150-68-5	CN(C)C(=O)NC1=CC=C(Cl)C=C1
1897-45-6	CAS-RN	DTXSID0020319	Chlorothalonil	DTXCID20319	1897-45-6	ClC1=C(Cl)C(C#N)=C(Cl)C(C#N)=C1Cl
77-92-9	CAS-RN	DTXSID3020332	Citric acid	DTXCID50332	77-92-9	OC(=O)CC(O)(CC(O)=O)C(O)=O
637-07-0	CAS-RN	DTXSID3020336	Clofibrate	DTXCID70336	637-07-0	CCOC(=O)C(C)(C)OC1=CC=C(Cl)C=C1
50-41-9	CAS-RN	DTXSID8020337	Clomiphene citrate (1:1)	DTXCID00337	50-41-9	CCN(CC)CCOC1=CC=C(C=C1)C(=C(Cl)C1=CC=CC=C1)C1=CC=CC=C1
56-72-4	CAS-RN	DTXSID2020347	Coumaphos	DTXCID20347	56-72-4	CCOP(=S)(OCC)OC1=CC2=C(C=C1)C(C)=C(Cl)C(=O)O2
91-64-5	CAS-RN	DTXSID7020348	Coumarin	DTXCID50348	91-64-5	O=C1OC2=C(C=CC=C2)C=C1
120-71-8	CAS-RN	DTXSID1020350	2-Methoxy-5-methylaniline	DTXCID30350	120-71-8	COC1=CC=C(C)C=C1N
135-20-6	CAS-RN	DTXSID1020352	Cupferron	DTXCID90352	135-20-6	ON(N=O)C1=CC=CC=C1
461-58-5	CAS-RN	DTXSID1020354	Cyanoguanidine	DTXCID50354	461-58-5	NC(=N)NC#N
108-94-1	CAS-RN	DTXSID6020359	Cyclohexanone	DTXCID00359	108-94-1	O=C1CCCCC1
427-51-0	CAS-RN	DTXSID5020366	Cyproterone acetate	DTXCID30366	427-51-0	CC(=O)OC1(CCC2C3C=C(Cl)C4=CC(=O)C5CC5C4(C)C3CCC12C)C(C)=O
1596-84-5	CAS-RN	DTXSID9020370	Daminozide	DTXCID70370	1596-84-5	CN(C)NC(=O)CCC(O)=O
80-08-0	CAS-RN	DTXSID4020371	Dapsone	DTXCID00371	80-08-0	NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1
53-19-0	CAS-RN	DTXSID9020372	1-(2-Chlorophenyl)-1-(4-chlorophenyl)-2,2-dichloroethane	DTXCID30372	53-19-0	ClC(Cl)C(C1=CC=C(Cl)C=C1)C1=C(Cl)C=CC=C1
72-54-8	CAS-RN	DTXSID4020373	p,p'-DDD	DTXCID60373	72-54-8	ClC(Cl)C(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1
72-55-9	CAS-RN	DTXSID9020374	p,p'-DDE	DTXCID90374	72-55-9	ClC(Cl)=C(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1
50-29-3	CAS-RN	DTXSID4020375	Dichlorodiphenyltrichloroethane	DTXCID20375	50-29-3	ClC1=CC=C(C=C1)C(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl
53-43-0	CAS-RN	DTXSID4020379	Dehydroepiandrosterone	DTXCID40379	53-43-0	CC12CCC3C(CC=C4CC(O)CCC34C)C1CCC2=O
52918-63-5	CAS-RN	DTXSID8020381	Deltamethrin	DTXCID20381	52918-63-5	CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)C1=CC=CC(OC2=CC=CC=C2)=C1
131-17-9	CAS-RN	DTXSID7020392	Diallyl phthalate	DTXCID70392	131-17-9	C=CCOC(=O)C1=C(C=CC=C1)C(=O)OCC=C
95-80-7	CAS-RN	DTXSID4020402	2,4-Diaminotoluene	DTXCID00402	95-80-7	CC1=C(N)C=C(N)C=C1
333-41-5	CAS-RN	DTXSID9020407	Diazinon	DTXCID50407	333-41-5	CCOP(=S)(OCC)OC1=NC(=NC(C)=C1)C(C)C
53-70-3	CAS-RN	DTXSID9020409	Dibenz(a,h)anthracene	DTXCID10409	53-70-3	C1=CC2=CC=C3C=C4C(C=CC5=CC=CC=C45)=CC3=C2C=C1
106-93-4	CAS-RN	DTXSID3020415	1,2-Dibromoethane	DTXCID10415	106-93-4	BrCCBr
23950-58-5	CAS-RN	DTXSID2020420	Propyzamide	DTXCID80420	23950-58-5	CC(C)(NC(=O)C1=CC(Cl)=CC(Cl)=C1)C#C
117-80-6	CAS-RN	DTXSID7020425	Dichlone	DTXCID30425	117-80-6	ClC1=C(Cl)C(=O)C2=C(C=CC=C2)C1=O
99-30-9	CAS-RN	DTXSID2020426	Dicloran	DTXCID60426	99-30-9	NC1=C(Cl)C=C(C=C1Cl)[N+]([O-])=O
79-43-6	CAS-RN	DTXSID2020428	Dichloroacetic acid	DTXCID20428	79-43-6	OC(=O)C(Cl)Cl
95-50-1	CAS-RN	DTXSID6020430	1,2-Dichlorobenzene	DTXCID00430	95-50-1	ClC1=C(Cl)C=CC=C1
106-46-7	CAS-RN	DTXSID1020431	1,4-Dichlorobenzene	DTXCID30431	106-46-7	ClC1=CC=C(Cl)C=C1
120-83-2	CAS-RN	DTXSID1020439	2,4-Dichlorophenol	DTXCID70439	120-83-2	OC1=C(Cl)C=C(Cl)C=C1
120-36-5	CAS-RN	DTXSID0020440	Dichlorprop	DTXCID20440	120-36-5	CC(OC1=C(Cl)C=C(Cl)C=C1)C(O)=O
94-75-7	CAS-RN	DTXSID0020442	2,4-Dichlorophenoxyacetic acid	DTXCID80442	94-75-7	OC(=O)COC1=C(Cl)C=C(Cl)C=C1
94-80-4	CAS-RN	DTXSID5020443	2,4-D Butyl ester	DTXCID10443	94-80-4	CCCCOC(=O)COC1=C(Cl)C=C(Cl)C=C1
330-54-1	CAS-RN	DTXSID0020446	Diuron	DTXCID00446	330-54-1	CN(C)C(=O)NC1=CC(Cl)=C(Cl)C=C1
62-73-7	CAS-RN	DTXSID5020449	Dichlorvos	DTXCID90449	62-73-7	COP(=O)(OC)OC=C(Cl)Cl
115-32-2	CAS-RN	DTXSID4020450	Dicofol	DTXCID40450	115-32-2	OC(C1=CC=C(Cl)C=C1)(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl
60-57-1	CAS-RN	DTXSID9020453	Dieldrin	DTXCID30196607	60-57-1	ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl
2921-88-2	CAS-RN	DTXSID4020458	Chlorpyrifos	DTXCID80458	2921-88-2	CCOP(=S)(OCC)OC1=NC(Cl)=C(Cl)C=C1Cl
111-46-6	CAS-RN	DTXSID8020462	Diethylene glycol	DTXCID20462	111-46-6	OCCOCCO
56-53-1	CAS-RN	DTXSID3020465	Diethylstilbestrol	DTXCID10465	56-53-1	CCC(=C(CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1
105-55-5	CAS-RN	DTXSID8020466	N,N'-Diethylthiourea	DTXCID40466	105-55-5	CCNC(=S)NCC
60-51-5	CAS-RN	DTXSID7020479	Dimethoate	DTXCID50479	60-51-5	CNC(=O)CSP(=S)(OC)OC
828-00-2	CAS-RN	DTXSID6020480	Dimethoxane	DTXCID00480	828-00-2	CC1CC(OC(C)=O)OC(C)O1
20325-40-0	CAS-RN	DTXSID1020485	3,3'-Dimethoxybenzidine dihydrochloride	DTXCID50485	20325-40-0	COC1=CC(=CC=C1N)C1=CC(OC)=C(N)C=C1
868-85-9	CAS-RN	DTXSID5020493	Dimethyl phosphonate	DTXCID10493	868-85-9	COP(=O)OC
756-79-6	CAS-RN	DTXSID0020494	Dimethyl methylphosphonate	DTXCID40494	756-79-6	COP(C)(=O)OC
120-61-6	CAS-RN	DTXSID0020498	Dimethyl terephthalate	DTXCID60498	120-61-6	COC(=O)C1=CC=C(C=C1)C(=O)OC
127-19-5	CAS-RN	DTXSID5020499	N,N-Dimethylacetamide	DTXCID90499	127-19-5	CN(C)C(C)=O
1095-90-5	CAS-RN	DTXSID2020501	Methadone hydrochloride	DTXCID80501	1095-90-5	CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1
108-01-0	CAS-RN	DTXSID2020505	Dimethylaminoethanol	DTXCID00505	108-01-0	CN(C)CCO
121-69-7	CAS-RN	DTXSID2020507	N,N-Dimethylaniline	DTXCID60507	121-69-7	CN(C)C1=CC=CC=C1
75-60-5	CAS-RN	DTXSID7020508	Dimethylarsinic acid	DTXCID90508	75-60-5	-
57-97-6	CAS-RN	DTXSID1020510	7,12-Dimethylbenz(a)anthracene	DTXCID70510	57-97-6	CC1=C2C=CC=CC2=C(C)C2=C3C=CC=CC3=CC=C12
612-82-8	CAS-RN	DTXSID6020511	3,3'-Dimethylbenzidine dihydrochloride	DTXCID00511	612-82-8	CC1=CC(=CC=C1N)C1=CC=C(N)C(C)=C1
79-44-7	CAS-RN	DTXSID1020512	Dimethylcarbamoyl chloride	DTXCID30512	79-44-7	CN(C)C(Cl)=O
68-12-2	CAS-RN	DTXSID6020515	N,N-Dimethylformamide	DTXCID20515	68-12-2	CN(C)C=O
57-14-7	CAS-RN	DTXSID1020516	1,1-Dimethylhydrazine	DTXCID50516	57-14-7	CN(C)N
51-28-5	CAS-RN	DTXSID0020523	2,4-Dinitrophenol	DTXCID80523	51-28-5	OC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O
606-20-2	CAS-RN	DTXSID5020528	2,6-Dinitrotoluene	DTXCID30528	606-20-2	CC1=C(C=CC=C1[N+]([O-])=O)[N+]([O-])=O
121-14-2	CAS-RN	DTXSID0020529	2,4-Dinitrotoluene	DTXCID60529	121-14-2	CC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O
147-24-0	CAS-RN	DTXSID4020537	Diphenhydramine hydrochloride	DTXCID20537	147-24-0	CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1
57-41-0	CAS-RN	DTXSID8020541	5,5-Diphenylhydantoin	DTXCID60541	57-41-0	O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1
115-29-7	CAS-RN	DTXSID1020560	Endosulfan	DTXCID70560	115-29-7	ClC1=C(Cl)C2(Cl)C3COS(=O)OCC3C1(Cl)C2(Cl)Cl
72-20-8	CAS-RN	DTXSID6020561	Endrin	DTXCID90196608	72-20-8	ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl
6381-77-7	CAS-RN	DTXSID5020570	Sodium erythorbate	DTXCID90570	6381-77-7	OCC(O)C1OC(=O)C(=O)C1O
50-28-2	CAS-RN	DTXSID0020573	17beta-Estradiol	DTXCID80573	50-28-2	CC12CCC3C(CCC4=C3C=CC(O)=C4)C1CCC2O
140-67-0	CAS-RN	DTXSID0020575	Estragole	DTXCID40575	140-67-0	COC1=CC=C(CC=C)C=C1
57-63-6	CAS-RN	DTXSID5020576	17alpha-Ethinylestradiol	DTXCID70576	57-63-6	CC12CCC3C(CCC4=C3C=CC(O)=C4)C1CCC2(O)C#C
91-53-2	CAS-RN	DTXSID9020582	Ethoxyquin	DTXCID70582	91-53-2	CCOC1=CC2=C(NC(C)(C)C=C2C)C=C1
77-83-8	CAS-RN	DTXSID8020591	Ethyl methylphenylglycidate	DTXCID60591	77-83-8	CCOC(=O)C1OC1(C)C1=CC=CC=C1
107-21-1	CAS-RN	DTXSID8020597	Ethylene glycol	DTXCID40597	107-21-1	OCCO
96-45-7	CAS-RN	DTXSID5020601	Ethylene thiourea	DTXCID90601	96-45-7	S=C1NCCN1
106-87-6	CAS-RN	DTXSID0020604	4-Vinyl-1-cyclohexene dioxide	DTXCID80604	106-87-6	C1OC1C1CCC2OC2C1
104-76-7	CAS-RN	DTXSID5020605	2-Ethyl-1-hexanol	DTXCID10605	104-76-7	CCCCC(CC)CO
103-23-1	CAS-RN	DTXSID0020606	Bis(2-ethylhexyl)hexanedioate	DTXCID40606	103-23-1	CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC
117-81-7	CAS-RN	DTXSID5020607	Di(2-ethylhexyl) phthalate	DTXCID70607	117-81-7	CCCCC(CC)COC(=O)C1=C(C=CC=C1)C(=O)OCC(CC)CCCC
470-82-6	CAS-RN	DTXSID4020616	1,8-Cineol	DTXCID60616	470-82-6	CC12CCC(CC1)C(C)(C)O2
97-53-0	CAS-RN	DTXSID9020617	Eugenol	DTXCID90617	97-53-0	COC1=C(O)C=CC(CC=C)=C1
102676-31-3	CAS-RN	DTXSID4020618	Fadrozole hydrochloride	DTXCID20618	102676-31-3	N#CC1=CC=C(C=C1)C1CCCC2=CN=CN12
55-38-9	CAS-RN	DTXSID8020620	Fenthion	DTXCID00620	55-38-9	COP(=S)(OC)OC1=CC(C)=C(SC)C=C1
51630-58-1	CAS-RN	DTXSID101017940	Fenvalerate	DTXCID30621	51630-58-1	CC(C)C(C(=O)OC(C#N)C1=CC=CC(OC2=CC=CC=C2)=C1)C1=CC=C(Cl)C=C1
98319-26-7	CAS-RN	DTXSID3020625	Finasteride	DTXCID50625	98319-26-7	CC(C)(C)NC(=O)C1CCC2C3CCC4NC(=O)C=CC4(C)C3CCC12C
86386-73-4	CAS-RN	DTXSID3020627	Fluconazole	DTXCID10627	86386-73-4	OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1
2164-17-2	CAS-RN	DTXSID8020628	Fluometuron	DTXCID40628	2164-17-2	CN(C)C(=O)NC1=CC=CC(=C1)C(F)(F)F
51-21-8	CAS-RN	DTXSID2020634	5-Fluorouracil	DTXCID40634	51-21-8	FC1C=NC(=O)NC1=O
98-01-1	CAS-RN	DTXSID1020647	Furfural	DTXCID50647	98-01-1	O=CC1=CC=CO1
25812-30-0	CAS-RN	DTXSID0020652	Gemfibrozil	DTXCID20652	25812-30-0	CC1=CC(OCCCC(C)(C)C(O)=O)=C(C)C=C1
548-62-9	CAS-RN	DTXSID5020653	Gentian Violet	DTXCID50653	548-62-9	CN(C)C1=CC=C(C=C1)C(C1=CC=C(C=C1)N(C)C)=C1C=CC(C=C1)=[N+](C)C
105-87-3	CAS-RN	DTXSID0020654	Geranyl acetate	DTXCID80654	105-87-3	CC(C)=CCCC(C)=CCOC(C)=O
77-06-5	CAS-RN	DTXSID0020656	Gibberellic acid	DTXCID40656	77-06-5	CC12C3C(C(O)=O)C45CC(=C)C(O)(C4)CCC5C3(OC1=O)C=CC2O
56-81-5	CAS-RN	DTXSID9020663	Glycerol	DTXCID40662	56-81-5	OCC(O)CO
96-24-2	CAS-RN	DTXSID4020664	3-Chloro-1,2-propanediol	DTXCID00664	96-24-2	OCC(O)CCl
556-52-5	CAS-RN	DTXSID4020666	Glycidol	DTXCID60666	556-52-5	OCC1CO1
2353-45-9	CAS-RN	DTXSID3020673	FD&C Green No. 3	DTXCID90673	2353-45-9	CCN(CC1=CC(=CC=C1)S(O)(=O)=O)C1=CC=C(C=C1)C(=C1C=CC(C=C1)=[N+](CC)CC1=CC(=CC=C1)S(O)(=O)=O)C1=C(C=C(O)C=C1)S(O)(=O)=O
76-44-8	CAS-RN	DTXSID3020679	Heptachlor	DTXCID70679	76-44-8	ClC1C=CC2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl
87-68-3	CAS-RN	DTXSID7020683	Hexachloro-1,3-butadiene	DTXCID10683	87-68-3	ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl
319-85-7	CAS-RN	DTXSID7020685	beta-Hexachlorocyclohexane	DTXCID20196535	319-85-7	ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
58-89-9	CAS-RN	DTXSID2020686	Lindane	DTXCID40196532	58-89-9	ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
77-47-4	CAS-RN	DTXSID2020688	Hexachlorocyclopentadiene	DTXCID60688	77-47-4	ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl
100-97-0	CAS-RN	DTXSID6020692	Methenamine	DTXCID00692	100-97-0	C1N2CN3CN1CN(C2)C3
136-77-6	CAS-RN	DTXSID1020699	4-Hexylresorcinol	DTXCID10699	136-77-6	CCCCCCC1=C(O)C=C(O)C=C1
122-66-7	CAS-RN	DTXSID7020710	1,2-Diphenylhydrazine	DTXCID90710	122-66-7	N(NC1=CC=CC=C1)C1=CC=CC=C1
